event_id_number,event_name,event_judging_type,total_evaluations,evals_with_marks,judges_with_evals
650,"Self Accompanied Solo OPEN",general,2,2,2
651,"Self Accompanied Duet OPEN",general,2,2,2
656,"Combined Ensemble OPEN",general,6,6,3
700,"Piano Solo U16",general,14,14,2
702,"Woodwind Solo U16",general,8,8,2
703,"String Solo - Plucked U16",general,4,4,2
704,"String Solo - Bow U16",general,2,2,2
707,"Miscellaneous Solo U16",general,2,2,2
709,"Instrumental Duet U16",general,2,2,2
710,"Tambourine Duet U16",general,2,2,2
711,"Instrumental Trio U16",general,2,2,2
713,"Instrumental Quartet U16",general,2,2,2
750,"Piano Solo OPEN",general,6,6,2
752,"Woodwind Solo OPEN",general,10,10,2
753,"String Solo - Plucked OPEN",general,2,2,2
754,"String Solo - Bow OPEN",general,2,2,2
756,"Tambourine Solo OPEN",general,10,10,2
757,"Miscellaneous Solo OPEN",general,4,4,2
759,"Instrumental Duet OPEN",general,6,6,2
760,"Tambourine Duet OPEN",general,2,2,2
761,"Instrumental Trio OPEN",general,2,2,2
762,"Tambourine Trio OPEN",general,2,2,2
763,"Instrumental Quartet OPEN",general,2,2,2
768,"Music Instrumental Arranging OPEN",general,3,3,2
780,"Instrumental Ensemble OPEN",general,11,11,3
781,"Tambourine Ensemble OPEN",general,2,2,2
782,"Handbell Ensemble OPEN",general,21,21,3
800,"Male Solo U16",general,12,12,3
801,"Male Duet U16",general,3,3,3
802,"Male Trio U16",general,3,3,3
805,"Female Solo U16",general,33,33,3
806,"Female Duet U16",general,6,6,3
807,"Female Trio U16",general,2,2,2
810,"Mixed Duet U16",general,2,2,2
811,"Mixed Trio U16",general,2,2,2
850,"Male Solo OPEN",general,3,3,3
855,"Female Solo OPEN",general,24,24,3
856,"Female Duet OPEN",general,6,6,3
857,"Female Trio OPEN",general,2,2,2
860,"Mixed Duet OPEN",general,3,3,3
870,"Vocal Ensemble OPEN",general,9,9,3
871,"Choir OPEN",general,12,12,3
900,"Puppets U16",general,6,6,2
901,"Dramatic Dialogue U16",general,16,16,2
902,"Mime Solo U16",general,2,2,2
908,"Expressive Reading (Male) U16",general,22,22,2
910,"Poetry Recitation (Male) U16",general,101,101,3
915,"Preaching (Male) U16",general,14,14,2
921,"Dramatic Monologue (Female) U16",general,2,2,2
922,"Expressive Reading (Female) U16",general,129,129,3
923,"Dramatic Narrative (Female) U16",general,2,2,2
924,"Poetry Recitation (Female) U16",general,149,149,3
928,"Famous Speech (Female) U16",general,10,10,2
929,"Preaching (Female) U16",general,9,9,2
951,"Dramatic Dialogue OPEN",general,3,3,2
952,"Mime Solo OPEN",general,2,2,2
954,"One-Act Play OPEN",general,18,18,2
956,"Oratory (Male) OPEN",general,4,4,2
958,"Expressive Reading (Male) OPEN",general,40,40,2
